Unnamed: 0,number,new_word,new_tag,Agent,Targ,Dest,F-comp,T-comp,F-eq,F-part-of,F-set,T-eq,T-part-of,V-eq,V-tm,other-mod,dependnecy_dst,arclabel
0,000-00-000,アボカド,F,,4,,,,,,,,,,,,切,Targ
2,000-00-002,半分,Sf,,4,,,,,,,,,,,,切,Dest
4,000-00-004,切,Ac,,8,,,,,,,,,,,,取り除,Targ
6,000-00-006,種,F,,8,,,,,,,,,,,,取り除,Dest
8,000-00-008,取り除,Ac,,14,,,,,,,,,,,,入れ,Targ
10,000-00-010,包丁,T,,14,,,,,,,,,,,,入れ,Dest
12,000-00-012,切れ目,F,,14,,,,,,,,,,,,入れ,Targ
14,000-00-014,入れ,Ac,,20,,,,,,,,,,,,切,Targ
18,000-01-018,皮,F,,20,,,,,,,,,,,,切,Targ
20,000-01-020,切,Ac,,21,,,,,,,,,,,,ら,Targ
21,000-01-021,ら,Ac,,22,,,,,,,,,,,,な,Targ
22,000-01-022,な,Ac,,73,,,,,,,,,,,,載せ,Targ
26,001-00-001,豆腐,F,,36,,,,,,,,,,,,切,Targ
28,001-00-003,水,F,,36,,,,,,,,,,,,切,Targ
30,001-00-005,切,Ac,,36,,,,,,,,,,,,切,Targ
32,001-00-007,1,Sf,,36,,,,,,,,,,,,切,other-mod
33,001-00-008,cm,Sf,,36,,,,,,,,,,,,切,other-mod
34,001-00-009,角,Sf,,36,,,,,,,,,,,,切,other-mod
36,001-00-011,切,Ac,,69,,,,,,,,,,,,混ぜ合わせ,Targ
39,002-00-000,小鍋,T,,47,,,,,,,,,,,,入れ,Dest
44,002-00-005,調味,F,,45,,,,,,,,,,,,料,F-eq
45,002-00-006,料,F,,47,,,,,,,,,,,,入れ,Targ
47,002-00-008,入れ,Ac,,51,,,,,,,,,,,,かけ,Targ
49,002-00-010,火,T,,51,,,,,,,,,,,,かけ,Dest
51,002-00-012,かけ,Ac,,53,,,,,,,,,,,,混ぜ,Targ
53,002-00-014,混ぜ,Ac,,57,,,,,,,,,,,,溶か,V-tm
55,002-00-016,砂糖,F,,57,,,,,,,,,,,,溶か,Targ
57,002-00-018,溶か,Ac,,62,,,,,,,,,,,,作,Targ
60,002-00-021,甘味噌,F,,62,,,,,,,,,,,,作,Targ
62,002-00-023,作,Ac,,62,,,,,,,,,,,,作,Targ
65,003-00-000,甘味噌,F,,69,,,,,,,,,,,,混ぜ合わせ,Targ
67,003-00-002,豆腐,F,,69,,,,,,,,,,,,混ぜ合わせ,Targ
69,003-00-004,混ぜ合わせ,Ac,,73,,,,,,,,,,,,載せ,Targ
71,003-00-006,アボカド,F,,73,,,,,,,,,,,,載せ,Targ
73,003-00-008,載せ,F,,80,,,,,,,,,,,,散ら,Targ
74,003-00-009,チーズ,F,,80,,,,,,,,,,,,散ら,Targ
76,003-00-011,ピザ,F,,80,,,,,,,,,,,,散ら,Dest
77,003-00-012,用,F,,80,,,,,,,,,,,,散ら,Targ
80,003-00-015,散ら,Ac,,91,,,,,,,,,,,,焼,V-tm
83,003-00-018,200,St,,91,,,,,,,,,,,,焼,other-mod
84,003-00-019,℃,St,,91,,,,,,,,,,,,焼,other-mod
86,003-00-021,オーブン,T,,91,,,,,,,,,,,,焼,Dest
88,003-00-023,約,D,,91,,,,,,,,,,,,焼,other-mod
89,003-00-024,10,D,,91,,,,,,,,,,,,焼,other-mod
90,003-00-025,分,D,,91,,,,,,,,,,,,焼,other-mod
91,003-00-026,焼,Ac,,96,,,,,,,,,,,,盛り付け,Targ
94,003-00-029,器,T,,96,,,,,,,,,,,,盛り付け,Dest
96,003-00-031,盛り付け,Ac,,-1,,,,,,,,,,,,,
